Usecase,Agent,Run,Score,Model
Candidate–Role Rematching,Codex,1,0.5,Not recorded
Candidate–Role Rematching,Brackett,1,1.0,Fused/multiple models
Candidate–Role Rematching,Brackett,2,1.0,Fused/multiple models
Candidate–Role Rematching,Brackett,3,0.997,Fused/multiple models
Candidate–Role Rematching,Claude,1,NA,Sonnet 5
Candidate–Role Rematching,Claude,2,NA,Sonnet 5
Credit Release Queue,Codex,1,0.36,Not recorded
Credit Release Queue,Brackett,1,1.0,Fused/multiple models
Credit Release Queue,Brackett,2,1.0,Fused/multiple models
Credit Release Queue,Brackett,3,1.0,Fused/multiple models
Credit Release Queue,Claude,1,NA,Sonnet 5
Credit Release Queue,Claude,2,0.8667,Sonnet 5
Customer Returns Inbox Triage,Codex,1,0.6364,Not recorded
Customer Returns Inbox Triage,Brackett,1,0.7348,Fused/multiple models
Customer Returns Inbox Triage,Brackett,2,0.8255,Fused/multiple models
Customer Returns Inbox Triage,Brackett,3,0.9045,Fused/multiple models
Customer Returns Inbox Triage,Claude,1,NA,Sonnet 5
Customer Returns Inbox Triage,Claude,2,NA,Sonnet 5
Discount Request Review,Codex,1,0.755,Not recorded
Discount Request Review,Brackett,1,0.8037,Fused/multiple models
Discount Request Review,Brackett,2,0.805,Fused/multiple models
Discount Request Review,Brackett,3,0.897,Fused/multiple models
Discount Request Review,Claude,1,NA,Sonnet 5
Discount Request Review,Claude,2,NA,Sonnet 5
Job Offer Follow-Up,Codex,1,0.45299999999999996,Not recorded
Job Offer Follow-Up,Brackett,1,0.94,Fused/multiple models
Job Offer Follow-Up,Brackett,2,0.41,Fused/multiple models
Job Offer Follow-Up,Brackett,3,0.545,Fused/multiple models
Job Offer Follow-Up,Claude,1,0.6054,Sonnet 5
Job Offer Follow-Up,Claude,2,NA,Sonnet 5
Job Requisition Broadcast,Codex,1,0.625,Not recorded
Job Requisition Broadcast,Brackett,1,0.98,Fused/multiple models
Job Requisition Broadcast,Brackett,2,0.94,Fused/multiple models
Job Requisition Broadcast,Brackett,3,0.555,Fused/multiple models
Job Requisition Broadcast,Claude,1,NA,Sonnet 5
Job Requisition Broadcast,Claude,2,NA,Sonnet 5
Job Requisition Triage,Codex,1,0.365,Not recorded
Job Requisition Triage,Brackett,1,0.84,Fused/multiple models
Job Requisition Triage,Brackett,2,0.46,Fused/multiple models
Job Requisition Triage,Brackett,3,0.64,Fused/multiple models
Job Requisition Triage,Claude,1,0.6629,Sonnet 5
Job Requisition Triage,Claude,2,0.682,Sonnet 5
Limited-Stock Order Allocation,Codex,1,0.257,Not recorded
Limited-Stock Order Allocation,Brackett,1,0.925,Fused/multiple models
Limited-Stock Order Allocation,Brackett,2,0.92,Fused/multiple models
Limited-Stock Order Allocation,Brackett,3,0.717,Fused/multiple models
Limited-Stock Order Allocation,Claude,1,NA,Sonnet 5
Limited-Stock Order Allocation,Claude,2,NA,Sonnet 5
